Line Section,Equipment / Asset ID,Manufacturer Code Pillow Block,Manufacturer Pillow Block,Manufacturer Code Bearing,Manufacturer Bearing,Bearing Type,Lubricant Type,Grease Fitting Position,Bearing Volume,Pillow Block 1st Fill %,Pillow Block 1st Fill g,Lubrication Grease (g),Lubrication Period (weeks)
PROCESS SECTION,BYP - 229 - ROLL #71 - Driven Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,BYP - 230 - ROLL #71 - OPS Side,FSAFS-317,SKF,22317CCC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,250 cm3,40%,89 g,48 g,20
PROCESS SECTION,CDR - 231 - CONDUCTOR ROLL #72 - Driven Side,04693120-519 (DG),DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,CDR - 232 - CONDUCTOR ROLL #72 - OPS Side,04693120-519 (DG),DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,HDR - 233 - HOLD DOWN ROLL 72S - Driven Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,HDR - 234 - HOLD DOWN ROLL 72S - OPS Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,SKR - 235 - SINK ROLL #73 - Driven Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 236 - SINK ROLL #73 - OPS Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,HDR - 237 - HOLD DOWN ROLL 74S - Driven Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,HDR - 238 - HOLD DOWN ROLL 74S - OPS Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,CDR - 239 - CONDUCTOR ROLL #74 - Driven Side,04693120-519 (DG),DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,CDR - 240 - CONDUCTOR ROLL #74 - OPS Side,04693120-519 (DG),DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,SKR - 241 - SINK ROLL #75 - Driven Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 242 - SINK ROLL #75 - OPS Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,HDR - 243 - HOLD DOWN ROLL #76S - Driven Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,HDR - 244 - HOLD DOWN ROLL #76S - OPS Side,04693120-526,DOFASCO,22316CC/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,222 cm3,40%,79 g,44 g,12
PROCESS SECTION,CDR - 245 - CONDUCTOR ROLL #76 - Driven Side,04693120-519 (DG),DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,CDR - 246 - CONDUCTOR ROLL #76 - OPS Side,04693120-519 (DG),DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
PROCESS SECTION,SKR - 247 - SINK ROLL #77 - Driven Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,SKR - 248 - SINK ROLL #77 - OPS Side,04693220-514 (AA),DOFASCO,22224CCKC3/W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,341 cm3,40%,121 g,55 g,2
PROCESS SECTION,DFR - 249 - CONDUCTOR ROLL #78 - Driven Side,04693120-519-1,DOFASCO,22232CCK-C3-W33,SKF,Spherical Roller Bearing,UNIREX EP2 GREASE,Pillow Block - Sides,830 cm3,40%,295 g,103 g,2
